Position	Player	Club	Age	Caps	Goals
Goalkeeper	Rui Patricio	Roma (ITA)	34	106	0
Goalkeeper	Jose Sa	Wolves (ENG)	29	0	0
Goalkeeper	Diogo Costa	Porto (POR)	23	7	0
Defender	Pepe	Porto (POR)	39	129	7
Defender	Raphael Guerreiro	Borussia Dortmund (GER)	28	57	3
Defender	Diogo Dalot	Manchester United (ENG)	23	7	2
Defender	Antonio Silva	Benfica (POR)	19	1	0
Defender	Ruben Dias	Manchester City (ENG)	25	40	2
Defender	Nuno Mendes	PSG (FRA)	20	17	0
Defender	Danilo Pereira	PSG (FRA)	31	63	2
Defender	Joao Cancelo	Manchester City (ENG)	28	37	7
Midfielder	Otavio	Porto (POR)	27	8	2
Midfielder	Joao Palhinha	Fulham (ENG)	27	15	2
Midfielder	Bruno Fernandes	Manchester United (ENG)	28	49	11
Midfielder	Bernardo Silva	Manchester City (ENG)	28	73	8
Midfielder	Matheus Nunes	Wolves (ENG)	24	9	1
Midfielder	William Carvalho	Real Betis (ESP)	30	76	5
Midfielder	Vitinha	PSG (FRA)	22	5	0
Midfielder	Joao Mario	Benfica (POR)	29	53	3
Midfielder	Ruben Neves	Wolves (ENG)	25	32	2
Forward	Cristiano Ronaldo	Manchester United (ENG)	37	191	117
Forward	Ricardo Horta	Braga (POR)	28	6	1
Forward	Rafael Leao	AC Milan (ITA)	23	11	0
Forward	Joao Felix	Atletico Madrid (SPA)	22	24	3
Forward	Goncalo Ramos	Benfica (POR)	21	1	1
Forward	Andre Silva	RB Leipzig (GER)	26	52	19